"Enabled","Aktiviert"
"Title","Titel"
"New Order Status","Neuer Bestell-Status"
"Sort Order","Reihenfolge"
"Payment from Applicable Countries","Zahlung aus erlaubten Ländern"
"Payment from Specific Countries","Zahlung von bestimmten Ländern"
"Payment Due","Zahlungsziel"
"Number of days within the invoice is payable","Anzahl an Tagen in denen die Rechnung zahlbar ist"
"Text for Payment Form","Text für Zahlungsmethoden-Auswahl"
"Text after the selection of the payment method","Text, der nach der Auswahl der Zahlungsmethode im Checkout angezeigt werden soll"
"Text for Payment Info","Text für die Zahlungsinformation"
"Text for the checkout progress info","Text, der im Bestellfortschritt angezeigt werden soll"
"Minimum Order Total","Mindestwert für Gesamtbestellung"
"Maximum Order Total","Höchstwert für Gesamtbestellung"
"Enabled for all customer groups","Aktiviert für alle Kundengruppen"
"Set to ""no"" if you want to enable Invoice payment only for specific customer groups.","Auf ""nein"" setzen um die Zahlungsart nur für bestimmte Kundengruppen zu erlauben"
"Enabled only for specific customer groups","Aktiviert für bestimmte Kundengruppen"
"Minimum Order Count","Mindestbestellanzahl"
"Default: ""0"" for disabled check | Minimum count of orders (in the past) needed for the customer to use this payment method.","Standard: ""0"" für deaktivierte Überprüfung | Mindestanzahl an Bestellugnen (in der Vergangenheit) um diese Zahlungsart benutzen zu dürfen."
"Minimum Order Amount","Mindestbestellsumme"
"Default: ""0"" for disabled check | Minimum order amount (in the past) needed for the customer to use this payment method.","Standard: ""0"" für deaktivierte Überprüfung | Mindestbestellsumme (in der Vergangenheit) um diese Zahlungsart benutzen zu dürfen."
"Check Open Invoices","Offene Rechnungen überprüfen"
"Set to ""yes"" if you want to disallow this payment method if a customer has invoices with the invoice state ""Open"".","Auf ""Ja"" setzen um die Zahlungsart zu deaktivieren, wenn der Kunden Rechnungen mit dem Status ""Offen"" hat."
"Automatically Create Invoice","Automatische Rechnungserstellung"
"Invoice State","Rechnungs-Status"
"Send Invoice Email","Rechnungsemail versenden"
"Your invoice is payable within %s days.","Die Rechnung ist innerhalb %s Tagen zahlbar."
